str:bruno jose maria  int:-10 -4 4  float:-0.00 3.00 9.00  p:(3.8,1.3) (-4.8,-4.2) 
str:ana joao jose lucas  int:-6 -5 8  float:0.20  p:(2.4,-0.2) (-4.2,4.7) 
str:joao joao lucas maria  int:-3 3 7 10  float:8.20  p:(4.2,-3.7) 
str:henrique joao jose  int:-9 -2  float:6.00  p:(3.0,2.4) 
str:carlos clara julia rafaela  int:-6 2 6 9  float:1.10  p:(-1.5,-1.2) (-2.2,-0.4) 
str:ana carlos clara  int:-9 -4 3 10  float:-5.50 2.40 5.80  p:(-0.0,0.2) (2.2,0.5) 
str:carlos henrique lucas paula  int:0 4 9  float:-10.00 -7.90  p:(4.0,1.5) 
str:ana joao paula rafaela  int:-2 5  float:-0.70  p:(2.9,-3.2) (-0.7,4.9) 
str:henrique juliana  int:-6 10  float:-5.70 -0.80  p:(-0.8,0.3) (-1.9,-3.2) 
str:lucas lucas  int:-10 9  float:-6.60  p:(0.1,-1.6) (-2.9,1.9) 
str:joao lucas  int:-4 4 9 9  float:-2.90  p:(-3.1,1.1) (0.8,-3.4) 
str:ana jose julia maria  int:-8 -1 0 3  float:-6.10  p:(0.5,1.9) (-1.6,1.4) 
str:julia juliana maria  int:-10 2 3  float:3.00  p:(1.4,1.8) 
str:henrique lucas  int:-10 4  float:-7.10 7.70  p:(-2.2,0.9) 
str:joao lucas rafaela  int:-8 -8 2  float:-4.00 1.30  p:(3.0,3.6) 
str:julia juliana juliana  int:4 5 7 7  float:-4.20 5.30 9.50  p:(-0.9,-2.1) 
str:ana bruno joao  int:-7 3 10  float:-8.70 -1.90 8.20  p:(4.0,-0.4) (3.8,4.2) 
str:carlos joao juliana  int:-10 -2 8  float:-6.30  p:(-3.4,4.0) 
str:ana jose rafaela  int:-10 2 3 8  float:-6.20 5.20  p:(-3.5,-1.0) 
str:bruno carlos lucas lucas  int:-7 -7 -6 -3  float:-9.50 2.10 4.80  p:(2.0,3.4) 
str:ana bruno  int:-9 -6 0  float:-4.20  p:(-1.5,0.1) (4.3,-1.3) 
str:ana carlos  int:-1 1 7 9  float:-2.60 7.80  p:(-1.5,-4.9) 
str:clara henrique  int:-3 -2  float:-8.50 -4.50  p:(-1.7,0.4) (2.1,0.5) 
str:lucas rafaela  int:2 5 8  float:-0.10 1.00  p:(4.2,1.3) 
str:carlos jose julia maria  int:-2 5 8 10  float:5.00  p:(-1.6,3.0) 
str:maria rafaela  int:-9 0 2  float:-4.80 -0.10 8.70  p:(-3.0,-2.5) (-1.4,3.7) 
str:carlos carlos henrique lucas  int:-6 4 4 7  float:5.50 9.90  p:(-1.9,0.7) (-4.2,-3.2) 
str:carlos henrique joao  int:-9 -8 -5 10  float:-3.20 6.80  p:(-2.9,4.6) 
str:carlos julia  int:4 8  float:-5.80 1.40  p:(-4.3,-1.0) (-4.9,0.9) 
str:clara henrique juliana  int:-6 -4 6  float:0.60 6.60  p:(-0.5,-3.4) (-3.7,-4.6) 
str:henrique jose jose julia  int:-1 5 7  float:-2.60  p:(-0.8,-1.7) (-3.3,-4.9) 
str:jose jose julia paula  int:-6 1  float:2.30  p:(-3.2,-2.6) (-0.6,4.5) 
str:henrique jose  int:-6 -6  float:5.00  p:(-1.4,-1.1) (3.9,-4.1) 
str:henrique maria paula  int:-2 6  float:-9.10 -3.20 4.00  p:(-1.7,-3.2) (-1.1,-3.6) 
str:joao joao lucas  int:-8 -8 8  float:-9.80 -4.90  p:(2.6,4.1) (4.9,-0.4) 
str:carlos henrique julia  int:-10 -3 -1 8  float:-7.00 0.60 5.40  p:(1.7,2.8) (3.7,3.8) 
str:henrique julia  int:-4 4 6  float:2.50  p:(3.7,0.3) (3.6,3.1) 
str:ana joao jose paula  int:-6 0 1  float:-6.20  p:(-0.6,2.8) (-4.3,-2.3) 
str:julia maria paula rafaela  int:4 10  float:-9.80 -2.10 -1.40  p:(3.5,2.0) 
str:ana henrique jose maria  int:-10 4 10  float:-8.20 -3.90  p:(-1.3,3.7) 
str:carlos paula rafaela  int:2 3 4 7  float:-5.30 1.00  p:(4.5,0.5) (4.0,2.2) 
str:carlos carlos joao paula  int:0 9  float:4.40 4.60  p:(-0.5,-4.9) (-4.3,3.3) 
str:ana henrique julia rafaela  int:-6 -5 10  float:0.10 4.50 7.00  p:(-2.7,4.1) 
str:ana julia  int:-9 -6 9  float:0.40  p:(-0.8,1.1) (-4.3,4.3) 
str:ana juliana rafaela  int:-4 -3 2 4  float:0.40 4.40  p:(-1.8,2.4) 
str:ana clara maria  int:-8 -8 0  float:-8.00 -3.60  p:(0.2,-0.7) (3.6,-2.7) 
str:clara clara joao joao  int:-9 -6 10  float:3.10 9.90  p:(4.5,-2.0) 
str:ana julia lucas  int:5 10  float:-9.30 -8.20 -4.70  p:(-4.8,0.1) 
str:carlos jose juliana lucas  int:-9 2 10  float:-7.70 -0.20 2.80  p:(1.5,-3.3) (4.7,4.6) 
str:ana maria rafaela  int:-8 4 9  float:0.30 3.00 5.30  p:(-3.9,0.6) 
str:ana lucas  int:-4 1 3  float:1.40  p:(1.9,0.8) (-4.7,1.0) 
str:clara jose  int:-6 8  float:-1.10 7.70  p:(0.0,-0.3) (-2.7,-4.3) 
str:bruno rafaela  int:-6 1 3  float:-2.40 4.50  p:(-3.7,-0.7) 
str:ana joao jose juliana  int:-10 -7  float:-2.70 -2.50 7.20  p:(-3.7,-3.3) (4.0,-3.3) 
str:juliana lucas maria rafaela  int:-7 4 7 9  float:5.40  p:(1.3,1.9) 
str:bruno henrique henrique juliana  int:-1 1 4 4  float:7.70  p:(2.2,-2.9) (4.3,-3.7) 
str:bruno carlos julia julia  int:-4 -1 2 8  float:-10.00  p:(-4.3,-0.1) (4.9,-4.5) 
str:ana bruno carlos  int:-9 -6 -6  float:-4.90 -3.70 3.10  p:(0.2,1.9) (-1.3,3.0) 
str:ana clara henrique  int:-10 -9  float:0.20 1.90 5.10  p:(0.2,1.6) (1.7,4.7) 
str:henrique henrique joao  int:-7 0 5 7  float:-3.00  p:(4.5,2.3) 
str:carlos joao julia paula  int:-7 -1 0  float:-3.80 8.10  p:(-2.1,-0.3) 
str:bruno carlos clara juliana  int:-3 9 10  float:6.20 7.50  p:(-0.1,-0.3) (-2.7,-4.2) 
str:lucas maria maria  int:-7 -2 6  float:-1.10 -0.30  p:(2.7,1.9) 
str:bruno carlos jose  int:2 5 9 10  float:-9.10 -7.70  p:(3.5,1.4) 
str:carlos jose juliana maria  int:5 7  float:-7.40 -3.70 2.20  p:(2.6,-4.8) 
str:clara julia lucas  int:-10 -10  float:1.20  p:(-3.6,-3.5) (-2.2,-4.8) 
str:joao paula  int:-10 -1 2  float:5.70  p:(0.7,4.1) 
str:carlos lucas rafaela  int:-8 2  float:1.60 1.70  p:(-2.2,-3.8) 
str:henrique joao maria  int:0 0 8 9  float:-0.10 0.90  p:(0.3,-2.1) (1.4,-4.2) 
str:clara lucas  int:-6 -5 10  float:7.40  p:(3.5,-1.8) (3.2,2.4) 
str:clara clara lucas  int:-10 -7 0  float:-3.90  p:(-2.1,-3.2) 
str:bruno julia paula  int:-9 -2 4 7  float:-6.40 4.60  p:(-4.5,-0.9) 
str:carlos maria rafaela  int:-3 0 5  float:-7.10 -4.20  p:(1.4,0.9) (-2.8,-1.0) 
str:ana rafaela  int:-7 4  float:9.80  p:(0.4,1.8) (2.1,4.5) 
str:henrique henrique  int:4 5 8  float:-9.90 -7.60  p:(1.6,-2.2) (-0.5,4.4) 
str:julia juliana rafaela  int:-4 5 8  float:-8.40 -2.60 1.30  p:(2.7,-3.8) (-4.0,2.8) 
str:maria rafaela  int:-5 1 6 6  float:-4.40  p:(-0.3,-2.3) 
str:ana maria maria  int:-1 4 6  float:6.00  p:(-1.3,2.1) (-2.8,2.5) 
str:henrique maria paula  int:-3 -1 0 1  float:-8.90 -2.00 0.90  p:(-2.3,1.7) 
str:ana joao julia  int:-9 -7 3 4  float:-8.90 4.80  p:(4.3,-1.8) 
str:ana carlos paula paula  int:-4 -3 10  float:-6.70 -5.50 -4.40  p:(4.9,0.8) 
str:bruno henrique  int:3 5  float:-4.80 7.20  p:(1.3,-2.7) (-3.7,0.2) 
str:carlos clara juliana lucas  int:-10 -5 -2  float:-1.90 7.00  p:(-0.2,0.1) (-2.3,-4.6) 
str:clara henrique rafaela  int:-8 -2 0 6  float:-2.40 -1.20 1.40  p:(-3.1,0.3) (-1.7,3.3) 
str:clara paula  int:-8 -8 2 8  float:-7.20 3.40 9.50  p:(-3.3,-3.7) (-4.4,3.2) 
str:clara jose lucas  int:-5 -2 -1 2  float:-5.00 4.10 4.30  p:(-2.2,-4.5) 
str:ana carlos clara rafaela  int:-5 3 6 8  float:-4.40 -2.10 0.30  p:(-0.1,1.5) (-4.8,-0.5) 
str:ana jose  int:-9 -1 3 10  float:-4.30 -3.80 3.70  p:(-1.0,0.1) 
str:ana joao  int:-7 -5 2 9  float:-4.00  p:(-4.5,2.8) 
str:joao maria  int:-3 1  float:-6.20 3.30 3.50  p:(-3.3,-2.7) 
str:carlos carlos carlos joao  int:-9 3  float:-7.80 6.00  p:(4.7,-3.4) 
str:bruno jose rafaela  int:-4 -3 -2 3  float:-5.00 -2.00  p:(3.0,2.6) 
str:carlos lucas rafaela  int:-9 1 6  float:-0.50 6.10  p:(-2.1,-1.9) (2.7,4.6) 
str:joao juliana  int:2 5  float:-2.00  p:(1.3,3.6) 
str:carlos carlos julia paula  int:3 6  float:-9.10 -6.40 9.70  p:(4.3,2.5) 
str:ana joao paula rafaela  int:-1 7 8 8  float:-1.70 3.00  p:(-1.9,-1.0) (-1.9,-3.0) 
str:bruno maria maria rafaela  int:-9 -6  float:-1.60 2.30 9.30  p:(-3.1,-3.2) 
str:henrique joao maria  int:5 10  float:-7.40 -3.00  p:(2.6,2.3) (-4.3,1.0) 
str:clara rafaela  int:-10 -1 8  float:-5.90 2.80 4.80  p:(2.9,-4.3) 
str:bruno clara maria  int:-7 -6 -5 6  float:7.20 7.70 8.80  p:(2.5,1.7) 
str:ana carlos carlos henrique  int:-10 -7 1 9  float:3.20  p:(-3.4,-4.7) 
str:ana ana bruno maria  int:-3 0 8  float:-6.20 3.00 7.80  p:(-2.2,-0.3) (-4.9,-4.2) 
str:ana clara  int:-1 6  float:-8.40 -6.40 8.60  p:(-2.8,0.2) 
str:ana paula rafaela  int:-4 4 5 9  float:3.00 3.00  p:(3.6,4.0) 
str:clara julia juliana paula  int:-3 9  float:-2.40 -1.00 5.80  p:(2.1,2.4) 
str:bruno carlos lucas maria  int:-9 9  float:-4.60 2.10 7.80  p:(0.2,1.1) (-0.1,-2.8) 
str:joao rafaela  int:-9 -4 -4 6  float:8.50  p:(-4.4,4.4) 
str:maria rafaela  int:-6 1  float:-2.50 4.50  p:(0.3,-2.6) 
str:carlos carlos joao lucas  int:-7 -5 -3  float:2.40 2.60  p:(2.1,-2.4) (4.3,1.5) 
str:joao julia rafaela rafaela  int:-8 -4 -2 0  float:-2.20 -1.50 4.50  p:(-1.2,-2.6) (4.2,-3.4) 
str:joao paula  int:-1 7  float:6.20 7.00 8.90  p:(-1.2,-2.4) (0.2,4.9) 
str:henrique joao jose rafaela  int:-9 -4 -1 1  float:1.90  p:(-1.5,2.8) (-4.4,0.5) 
str:joao lucas lucas  int:-8 -5 2  float:0.60 5.60 7.40  p:(3.1,-4.7) 
str:ana henrique juliana paula  int:-6 0 7  float:-2.20 1.50  p:(1.3,-3.4) (4.9,-0.4) 
str:julia lucas  int:-8 7 10  float:3.40  p:(0.0,-1.2) (3.8,-0.0) 
str:henrique julia lucas  int:-10 6  float:-2.10 6.50  p:(-0.1,4.5) 
str:ana joao  int:-1 4 7 10  float:-5.30 0.40 5.10  p:(-0.8,1.0) 
str:bruno maria  int:-4 -2 3 7  float:5.70  p:(-1.3,-3.2) (-3.8,-3.9) 
str:clara lucas rafaela  int:-9 -4 8 9  float:-9.80 -7.10 -0.90  p:(3.7,1.9) (3.5,2.5) 
str:carlos clara  int:-9 -3 8 10  float:-6.50 0.60 2.00  p:(4.9,-3.0) 
str:bruno joao maria  int:-10 0  float:-6.00 -1.00  p:(-3.1,-0.6) (-4.6,0.9) 
str:jose paula paula  int:1 2 2 6  float:-1.50 4.30 6.00  p:(4.1,2.8) 
str:carlos clara jose lucas  int:-2 3  float:-4.00  p:(1.2,5.0) 
str:bruno paula rafaela  int:-3 6  float:4.60  p:(1.7,-3.7) 
str:juliana lucas paula  int:3 8  float:7.80  p:(-1.6,-3.7) (-4.0,1.6) 
str:ana paula  int:-10 9  float:-0.50 0.80 4.80  p:(-2.9,3.9) 
str:ana clara henrique joao  int:-4 1 4  float:-6.60 1.80  p:(-2.7,0.7) (-4.2,0.2) 
str:ana julia maria rafaela  int:-6 8  float:-0.50  p:(3.7,3.2) 
str:ana bruno maria  int:-6 -2  float:-4.70 -4.50 9.50  p:(1.1,-1.4) 
str:carlos joao  int:5 7 9  float:-9.70 4.10  p:(1.3,2.1) (-3.2,1.0) 
str:clara juliana  int:-10 5 9  float:-5.40 -3.50  p:(-1.2,0.6) (4.3,-4.7) 
str:carlos lucas  int:-8 -6 2  float:-4.30 5.20  p:(1.7,0.1) 
str:ana ana henrique julia  int:-3 8 9  float:-6.30 -4.80 4.20  p:(-3.2,4.2) 
str:carlos maria paula  int:-3 1  float:-3.30 -1.50  p:(1.6,-0.5) (-1.0,-4.2) 
str:carlos joao juliana  int:8 8  float:-9.70 -9.00 8.30  p:(3.6,-0.3) (-2.5,-4.1) 
str:henrique maria rafaela rafaela  int:-10 1 3 10  float:6.00  p:(1.2,-0.0) 
str:ana joao lucas lucas  int:-8 5 5  float:-0.40  p:(-2.0,2.7) 
str:bruno bruno jose jose  int:-5 9  float:-5.40  p:(3.4,-1.0) 
str:henrique juliana lucas  int:7 9  float:-3.90 0.00  p:(4.2,-1.6) 
str:clara lucas paula  int:-1 7  float:-8.80 -0.80 3.30  p:(1.3,-3.2) 
str:henrique jose julia  int:-10 -2 4 7  float:-1.40 1.70 2.70  p:(1.5,-3.0) 
str:bruno clara joao  int:-10 -3 -2 10  float:-8.30 -5.00  p:(1.9,-2.5) (4.6,-4.9) 
str:bruno jose maria  int:-9 -7 -3 9  float:-3.90  p:(0.3,-1.6) (-5.0,1.6) 
str:bruno clara juliana  int:-3 7  float:-9.20 0.80 2.00  p:(3.5,-3.0) (-4.9,3.2) 
str:carlos clara  int:-10 -8 8 10  float:-8.50  p:(2.1,-0.2) 
str:clara julia rafaela rafaela  int:-8 -5 3 7  float:-1.70  p:(-3.8,-0.5) 
str:clara henrique maria  int:-7 -5  float:-5.10  p:(1.4,3.7) 
str:clara maria  int:-4 -4 1 5  float:2.40 7.50 9.30  p:(-0.2,3.2) 
str:henrique juliana lucas maria  int:-9 -6 -5 8  float:-5.60 9.00  p:(-0.1,0.0) (1.1,-4.4) 
str:henrique juliana lucas maria  int:-4 -3 10  float:1.80  p:(2.3,3.1) (-3.9,-2.9) 
str:joao maria  int:-10 -9 -8 -4  float:-2.00 -0.00 4.10  p:(3.8,4.2) 
str:bruno joao joao juliana  int:-10 10  float:-6.40 -4.30 -0.00  p:(-4.2,5.0) 
str:carlos jose lucas  int:5 8  float:5.90  p:(0.8,-1.4) 
str:bruno carlos  int:7 7 8 10  float:-5.50 -4.50 -0.50  p:(-2.1,4.2) (-4.4,3.6) 
str:bruno clara henrique paula  int:-7 -1 1  float:-1.70 -1.60 8.40  p:(3.3,3.7) 
str:ana joao juliana  int:8 10  float:-8.20 9.00 9.60  p:(3.6,-4.7) 
str:carlos joao joao  int:-3 2  float:-7.50 7.40  p:(-0.7,1.2) (3.5,-0.6) 
str:bruno henrique juliana lucas  int:-3 0 1  float:7.90 9.80  p:(-2.7,0.4) (3.8,1.9) 
str:bruno joao juliana rafaela  int:-3 -1 2 5  float:-4.40  p:(2.4,3.6) 
str:clara clara clara  int:-9 -1 2  float:-6.80  p:(3.2,0.7) 
str:carlos henrique lucas  int:-1 9  float:4.10  p:(-4.6,-1.0) (-4.3,2.7) 
str:carlos julia  int:-10 0 6  float:0.60 1.80 8.20  p:(0.7,-1.7) (-4.4,3.3) 
str:joao joao julia  int:-6 -5 -3  float:9.10  p:(-0.7,-1.7) 
str:bruno clara henrique  int:-1 6  float:1.50 3.80 9.00  p:(-1.7,1.7) (2.1,1.7) 
str:henrique henrique juliana  int:-4 -2 -2 2  float:3.70  p:(-0.4,0.1) (-3.6,0.0) 
str:bruno clara joao  int:-8 -2  float:-3.50 1.20 3.40  p:(-0.4,1.9) (-2.5,-4.9) 
str:bruno carlos juliana maria  int:-6 -3 -2 0  float:-0.80 0.30  p:(0.5,-2.7) (0.8,-3.5) 
str:carlos jose lucas  int:-7 -4 -1 -1  float:-6.10 5.80 7.50  p:(-0.2,-2.7) (-0.1,4.9) 
str:clara clara maria maria  int:-8 -5 -1 6  float:4.50  p:(4.3,0.9) (0.7,-4.5) 
str:bruno carlos joao lucas  int:4 5  float:-6.50  p:(3.4,0.7) (-4.8,1.7) 
str:bruno jose  int:-9 1  float:-5.60 -3.70 7.80  p:(0.1,-0.1) (1.4,-4.9) 
str:ana julia juliana paula  int:-9 -4 9  float:-9.40 -2.40 6.90  p:(5.0,2.6) 
str:ana clara henrique  int:-3 1 8  float:1.30 9.30  p:(0.6,-0.2) 
str:ana bruno juliana maria  int:-10 -6 1  float:-7.30 -6.60 5.10  p:(-0.6,-3.6) 
str:clara jose  int:0 3  float:-7.00 -0.60 6.20  p:(1.2,-0.7) (0.3,-3.8) 
str:bruno jose paula rafaela  int:-3 3  float:4.50  p:(-1.1,-1.4) (-1.2,3.5) 
str:bruno clara clara julia  int:0 10  float:2.60 9.70  p:(3.7,1.2) 
str:bruno henrique juliana maria  int:0 1 2 5  float:-9.50 3.40 3.60  p:(0.8,2.1) (-4.6,-4.9) 
str:lucas lucas  int:-10 -5 3  float:-9.10 -5.20 -2.00  p:(2.0,0.9) 
str:bruno jose julia rafaela  int:-8 9  float:-6.20 5.30 9.10  p:(-4.4,0.9) 
str:henrique joao julia  int:-8 -1  float:-5.70 -2.10 8.50  p:(-0.7,4.7) 
str:clara maria  int:-5 -3  float:-10.00 6.20 7.80  p:(3.3,-2.7) 
str:clara henrique jose juliana  int:-6 -2 0  float:-7.60 -5.80 6.50  p:(-1.5,3.6) 
str:joao paula  int:-2 0 0  float:-7.60 5.30  p:(-4.9,4.0) 
str:julia juliana  int:1 5 5  float:-4.70 -1.50  p:(-3.3,2.1) (-4.7,3.7) 
str:carlos henrique juliana maria  int:-6 1 4 5  float:3.40  p:(-2.4,-2.7) (4.6,-3.5) 
str:jose lucas maria  int:-2 -1 4  float:-5.40 3.00 8.60  p:(2.8,0.2) 
str:bruno clara  int:2 4 9  float:-3.50 1.10 4.40  p:(-3.3,-4.3) (-4.8,-3.4) 
str:jose paula  int:3 9 10  float:-1.30  p:(3.3,-2.2) (4.4,3.0) 
str:juliana paula  int:-8 -5 4  float:-9.90 3.50  p:(2.1,-1.6) (-3.1,-3.3) 
str:henrique jose jose  int:-8 3 9 10  float:7.40  p:(0.1,4.0) 
str:carlos joao  int:-9 -8 0  float:-5.00  p:(-3.9,-2.7) 
str:bruno clara juliana  int:-7 3 3  float:-8.30 0.40  p:(-5.0,2.2) 
str:henrique lucas maria paula  int:-7 -5 -4  float:-9.70 -7.80  p:(-0.4,-1.8) 
str:joao juliana juliana  int:10 10  float:-2.90 -0.10 3.40  p:(-2.9,-1.1) 
str:maria paula  int:-1 1 6  float:-6.80 4.80 6.50  p:(-0.9,1.1) (-1.7,-0.6) 
str:henrique jose  int:-2 4 8  float:3.70 4.30 9.70  p:(3.6,-2.6) (3.9,-3.7) 
str:bruno henrique julia  int:-8 -7 7  float:-0.10 4.70 7.20  p:(-0.4,1.1) (-2.1,1.4) 
str:carlos henrique juliana  int:0 1 6 7  float:-9.40 -1.50 9.80  p:(-1.5,-2.1) (-0.0,2.6) 
str:bruno henrique paula  int:3 7  float:-5.00  p:(-4.2,0.5) (-2.4,-4.3) 
str:joao juliana lucas  int:-10 -10 -6  float:-8.40  p:(0.3,-1.0) (0.8,-3.9) 
str:ana joao  int:-4 -3  float:-3.70 1.70 5.60  p:(3.0,-1.9) 
str:carlos jose maria  int:-2 2  float:-2.60  p:(3.5,2.3) 
str:bruno joao joao lucas  int:-9 8  float:-7.40 -6.00 9.50  p:(-3.9,-1.4) 
str:julia juliana paula  int:-4 3  float:2.60 6.60  p:(-1.0,0.7) (0.8,-3.3) 
str:ana juliana lucas  int:-10 3 4 9  float:-7.90 5.80  p:(3.3,-0.4) 
str:carlos clara lucas  int:-9 -4  float:-9.90 -6.70 -1.10  p:(2.1,3.3) (2.1,4.9) 
str:clara maria  int:-4 -4  float:-7.70 2.40 6.10  p:(-2.1,-4.0) 
str:ana clara rafaela  int:2 5  float:-8.30 6.10  p:(-2.6,3.4) 
str:carlos joao lucas rafaela  int:-10 7 8 10  float:-2.10 1.80  p:(-2.3,-2.6) (4.3,3.4) 
str:henrique lucas rafaela  int:-8 -6 -4 6  float:5.80  p:(-1.3,4.6) 
str:clara juliana  int:-2 2 2 9  float:-3.60 9.80  p:(0.6,2.9) 
str:carlos clara rafaela  int:1 9  float:-4.00 9.30 9.60  p:(3.3,-2.5) 
str:bruno carlos juliana  int:-8 -4 -1 6  float:-2.00 3.30 6.20  p:(-2.1,-2.7) (4.2,0.6) 
str:henrique joao paula  int:-8 -1 0 4  float:-9.70 -4.60 4.10  p:(-0.7,-2.6) (4.0,-0.3) 
str:clara maria  int:5 9  float:-3.60  p:(0.2,-2.8) (-3.8,2.8) 
str:bruno joao julia  int:-1 -1 7 9  float:-0.80  p:(-3.9,3.4) (2.8,4.6) 
str:ana bruno julia rafaela  int:-3 -3 2 8  float:-9.40 4.40 8.60  p:(0.8,4.3) 
str:juliana maria  int:-9 -9 9  float:-3.10 5.40  p:(2.5,2.4) (-4.5,3.9) 
str:julia paula  int:-10 -8 -1 0  float:-7.80  p:(3.4,3.0) 
str:ana jose juliana  int:-9 -7 9  float:-1.10  p:(1.8,0.8) (3.5,-1.4) 
str:julia maria rafaela rafaela  int:-5 6  float:-4.50 -1.90  p:(1.0,-2.0) (-4.4,3.4) 
str:julia lucas  int:-7 -6  float:-8.70 8.20  p:(1.2,-4.3) 
str:bruno jose jose julia  int:-6 -2 5  float:-8.90 8.30  p:(-1.5,-1.2) 
str:ana henrique henrique  int:-6 -2 4 4  float:-6.90 3.20  p:(-0.7,0.3) 
str:ana clara jose maria  int:-7 -1  float:0.80 5.50  p:(4.1,4.1) 
str:clara jose julia maria  int:6 10  float:-5.60 2.40  p:(1.4,4.4) 
str:jose lucas paula  int:1 2 2 7  float:-9.00  p:(-1.1,0.5) (-4.4,3.7) 
str:jose paula  int:-8 -7 3  float:1.00  p:(-2.6,0.5) 
str:clara maria rafaela  int:-7 2 4 5  float:-7.80  p:(-3.2,-1.6) 
str:ana henrique henrique rafaela  int:-10 -5  float:-6.80 4.70  p:(1.1,3.1) 
str:bruno clara joao maria  int:0 6  float:3.10 7.50 9.40  p:(-1.9,2.7) (0.2,4.0) 
str:ana lucas rafaela rafaela  int:-8 -4 5  float:3.40 7.30  p:(4.0,-0.5) 
str:bruno carlos julia julia  int:-9 -8 9 9  float:-4.20 -0.10 2.50  p:(-0.9,2.5) (4.3,-4.6) 
str:jose juliana  int:-9 -2 -2 1  float:-8.30 5.00 9.70  p:(1.1,-3.0) (-3.6,3.9) 
str:ana carlos julia paula  int:-9 0 6  float:6.10 8.70  p:(-2.0,3.7) 
str:henrique maria  int:-2 0 1 9  float:1.70 5.90  p:(-1.9,4.1) 
str:carlos maria  int:5 8  float:-6.10 6.40 9.70  p:(0.3,-1.3) 
str:maria paula  int:-5 -5  float:1.90  p:(1.0,-1.1) (4.6,-3.5) 
str:joao juliana juliana paula  int:-9 -8 -6  float:-7.90 0.70 4.70  p:(3.5,-2.4) (-0.8,-4.5) 
str:ana joao paula rafaela  int:-8 -6 8  float:-3.60 2.00 4.30  p:(1.3,4.5) 
str:ana bruno clara maria  int:-10 -10 -6  float:3.00 3.10  p:(-2.4,-3.6) 
str:clara julia maria rafaela  int:0 9  float:0.40 3.50 5.20  p:(-3.7,0.5) (-0.4,3.8) 
str:julia lucas maria  int:-10 -7 -2 4  float:-8.20 2.40  p:(0.8,1.0) 
str:julia maria paula paula  int:1 3 10  float:-1.80 2.90  p:(2.7,1.0) (-4.0,-1.9) 
str:juliana maria maria maria  int:-8 -4  float:3.60 3.60 7.90  p:(-1.3,3.7) (-4.5,-4.1) 
str:ana jose  int:-8 -5 -3 9  float:8.30  p:(-2.6,3.5) (3.5,-3.2) 
str:ana carlos juliana  int:-5 -1 5 10  float:8.70  p:(0.1,3.6) (-2.6,3.9) 
str:clara clara julia juliana  int:-3 8  float:-7.60 -5.50 7.40  p:(3.2,0.4) (-0.8,-4.9) 
str:julia julia maria  int:-7 1  float:9.20  p:(-0.6,-3.0) (-2.7,-4.4) 
str:jose lucas maria  int:-1 2 8  float:-9.50 -3.10  p:(4.1,1.0) (4.1,-3.0) 
str:ana ana  int:-2 1  float:0.30 2.50 3.70  p:(-4.7,-4.3) 
str:bruno henrique henrique  int:-3 -3 -1  float:-6.70 3.00  p:(1.3,-3.0) 
str:joao jose paula  int:-9 -3 3 4  float:-4.30 -4.20  p:(-1.8,-1.1) (-2.7,-1.0) 
str:joao julia maria  int:-6 3  float:-1.20 -1.10 3.20  p:(-0.3,-3.3) 
str:juliana juliana paula  int:-5 3 4  float:-0.10 6.80  p:(-0.1,2.4) (-3.7,4.3) 
str:carlos carlos jose juliana  int:-9 7 8 10  float:-7.70 -2.00  p:(0.9,0.8) 
str:carlos maria  int:0 1 6  float:-1.90 -1.20 3.70  p:(0.0,-3.3) (3.9,3.2) 
str:carlos clara clara paula  int:-10 -7 -5  float:-4.00 -4.00 0.10  p:(0.3,-1.1) 
str:julia juliana juliana  int:-1 1 1 4  float:-7.10  p:(3.0,-3.0) 
str:ana clara jose  int:0 0 2  float:2.10  p:(-0.9,3.0) (-3.5,0.4) 
str:ana ana rafaela  int:-6 4  float:-8.20 8.00  p:(-0.5,-2.9) 
str:ana joao juliana paula  int:-7 -1 2 10  float:-3.50  p:(-2.5,-1.0) (-3.3,-2.9) 
str:carlos lucas lucas  int:-1 9  float:-5.80 5.60  p:(-1.2,3.8) 
str:jose lucas paula  int:1 5  float:-2.80  p:(0.1,0.2) 
str:joao lucas lucas  int:-9 -2 -2  float:1.10  p:(-2.9,1.3) (3.6,0.1) 
str:carlos julia julia maria  int:-4 3 5  float:-2.10 1.80  p:(-2.3,-4.1) (4.8,4.1) 
str:carlos henrique henrique  int:1 5 7  float:-5.80 -0.30  p:(-1.5,0.3) 
str:juliana lucas  int:-2 -1 1 6  float:-0.50 1.60  p:(-3.3,-0.7) 
str:clara jose rafaela  int:-7 -4  float:-7.80 -3.70 -1.20  p:(-4.9,0.8) 
str:bruno clara julia juliana  int:-3 -2 7 8  float:-9.80 2.80  p:(-0.4,0.8) (1.7,-4.5) 
str:carlos clara  int:-7 -2 1 1  float:1.80 2.00 6.10  p:(2.6,-0.1) (-2.4,3.8) 
str:ana jose paula  int:-8 1 5 8  float:-2.10  p:(2.9,1.2) 
str:henrique julia rafaela  int:-5 2 5 9  float:-9.30 -0.30 0.10  p:(-2.3,4.2) 
str:jose maria  int:-3 10  float:-0.80  p:(2.6,-4.1) (1.8,4.9) 
str:bruno henrique henrique maria  int:-8 1 8 10  float:6.90  p:(-3.2,-1.5) (-0.7,4.7) 
str:carlos joao joao paula  int:0 5 6 10  float:-2.30 -1.40 6.40  p:(1.6,3.6) (-4.5,-3.4) 
